market_id,question,a_score,b_score,a_confidence,b_confidence,revision_flag,recommendation,decision,bet_direction,entry_price,resolved_yes,pnl,weighted_score,estimated_edge,evaluation_date,end_date
500307,Aaron Taylor-Johnson announced as next James Bond?,6,2,medium,low,NONE,GO_EVALUATE,SKIP,null,0.005,False,,,,2024-12-29T12:00:00+00:00,2024-12-30T12:00:00+00:00
253961,Will Cillian Murphy win the Oscar for Best Actor?,4,9,medium,medium,NONE,GO_EVALUATE,GO,YES,0.89,True,0.11,6.75,7.0,2024-03-07T00:00:00+00:00,2024-03-08T00:00:00+00:00
515472,Jay-Z criminal charges in 2024?,4,3,medium,low,NONE,GO_EVALUATE,SKIP,null,0.0175,False,,,,2024-12-30T12:00:00+00:00,2024-12-31T12:00:00+00:00
514001,Will Kendrick Lamar release another album in 2024?,4,8,medium,medium,NONE,GO_EVALUATE,SKIP,null,0.006,False,,,,2024-12-30T12:00:00+00:00,2024-12-31T12:00:00+00:00
501518,Will Elon tweet less than 60 times?,4,9,medium,medium,NONE,GO_EVALUATE,GO,YES,0.18,True,0.82,6.75,7.0,2024-05-16T12:00:00+00:00,2024-05-17T12:00:00+00:00
254556,Will another country win Eurovision 2024?,2,2,high,low,NONE,GO_EVALUATE,SKIP,null,0.065,False,,,,2024-05-07T00:00:00+00:00,2024-05-08T00:00:00+00:00
253895,Will another film win the Oscar for Best Picture?,4,1,medium,low,NONE,GO_EVALUATE,SKIP,null,0.0015,False,,,,2024-03-08T00:00:00+00:00,2024-03-09T00:00:00+00:00
501153,TikTok banned in the US in 2024?,5,2,medium,low,NONE,GO_EVALUATE,SKIP,null,0.003,False,,,,2024-12-30T12:00:00+00:00,2024-12-31T12:00:00+00:00
506924,Caroline Ellison sentenced to 1-11 months in prison?,7,2,medium,low,PRE_SIGNAL,WATCH,SKIP,null,0.175,False,,,,2024-09-23T12:00:00+00:00,2024-09-24T12:00:00+00:00
515310,'Mufasa' vs. 'Sonic 3' opening weekend box office?,4,3,medium,low,NONE,GO_EVALUATE,SKIP,null,0.005,False,,,,2024-12-22T12:00:00+00:00,2024-12-23T12:00:00+00:00
253986,Will 'Dune: Part Two' gross under $70m opening weekend?,4,8,medium,medium,NONE,GO_EVALUATE,SKIP,null,0.053,False,,,,2024-02-29T00:00:00+00:00,2024-03-01T00:00:00+00:00
254422,Taylor Swift pregnant in 2024?,3,2,medium,low,NONE,GO_EVALUATE,SKIP,null,0.0045,False,,,,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00
254076,Will Christopher Nolan win the Oscar for Best Director?,4,2,medium,low,NONE,GO_EVALUATE,SKIP,null,0.955,True,,,,2024-03-07T00:00:00+00:00,2024-03-08T00:00:00+00:00
254551,Will Greece win Eurovision 2024?,2,1,high,low,NONE,GO_EVALUATE,SKIP,null,0.0135,False,,,,2024-05-07T00:00:00+00:00,2024-05-08T00:00:00+00:00
512859,Will 'Moana 2' gross between $150-165m on 5-day opening weekend?,5,4,medium,low,NONE,GO_EVALUATE,SKIP,null,0.12,False,,,,2024-11-26T12:00:00+00:00,2024-11-27T12:00:00+00:00
511642,Will Elon tweet 350-374 times November 1-8?,4,8,medium,medium,NONE,GO_EVALUATE,SKIP,null,0.4455,False,,,,2024-11-07T12:00:00+00:00,2024-11-08T12:00:00+00:00
512861,Will 'Moana 2' gross more than $180m on 5-day opening weekend?,5,7,medium,medium,NONE,GO_EVALUATE,SKIP,null,0.605,True,,,,2024-11-26T12:00:00+00:00,2024-11-27T12:00:00+00:00
518350,Will Elon tweet 425-449 times Jan 10-17?,4,7,medium,medium,NONE,GO_EVALUATE,SKIP,null,0.095,False,,,,2025-01-16T12:00:00+00:00,2025-01-17T12:00:00+00:00
254251,Will 'Furiosa: A Mad Max Saga' gross most in 2024?,4,1,medium,low,NONE,GO_EVALUATE,SKIP,null,0.0015,False,,,,2024-12-28T00:00:00+00:00,2024-12-29T00:00:00+00:00
506926,Caroline Ellison sentenced to 24-35 months in prison?,7,2,medium,low,PRE_SIGNAL,WATCH,SKIP,null,0.0645,True,,,,2024-09-23T12:00:00+00:00,2024-09-24T12:00:00+00:00
514170,"Will $HAWK FDV be $30,000,000 or more one day after launch?",5,9,medium,medium,NONE,GO_EVALUATE,GO,NO,0.235,True,-0.765,7.02,8.08,2024-12-04T12:00:00+00:00,2024-12-05T12:00:00+00:00
521494,Will Elon tweet 650-674 times Jan 31 - Feb 7?,4,8,medium,medium,NONE,GO_EVALUATE,SKIP,null,0.255,True,,,,2025-02-06T12:00:00+00:00,2025-02-07T12:00:00+00:00
515263,Will 'Sonic 3' gross between $64-72m on 3-day opening weekend?,4,9,medium,medium,NONE,GO_EVALUATE,GO,YES,0.231,False,-0.231,6.75,7.0,2024-12-22T12:00:00+00:00,2024-12-23T12:00:00+00:00
254254,Will another movie gross most in 2024?,4,2,medium,low,NONE,GO_EVALUATE,SKIP,null,0.0005,False,,,,2024-12-28T00:00:00+00:00,2024-12-29T00:00:00+00:00
255015,Will 'Dune: Part Two' gross more than $300m by May 15?,5,2,medium,low,NONE,GO_EVALUATE,SKIP,null,0.0055,False,,,,2024-05-12T00:00:00+00:00,2024-05-13T00:00:00+00:00
254249,Will 'Dune: Part 2' gross most in 2024?,4,2,medium,low,NONE,GO_EVALUATE,SKIP,null,0.0005,False,,,,2024-12-28T00:00:00+00:00,2024-12-29T00:00:00+00:00
254847,SBF reduced sentence because autism?,5,2,medium,low,NONE,GO_EVALUATE,SKIP,null,0.125,False,,,,2024-03-27T00:00:00+00:00,2024-03-28T00:00:00+00:00
501458,Will 'Kingdom of the Planet of the Apes' gross less than $46m on its opening weekend?,5,9,medium,medium,NONE,GO_EVALUATE,SKIP,null,0.003,False,,,,2024-05-12T12:00:00+00:00,2024-05-13T12:00:00+00:00
