market_id,question,a_score,b_score,a_confidence,b_confidence,revision_flag,recommendation,decision,bet_direction,entry_price,resolved_yes,pnl,weighted_score,estimated_edge,evaluation_date,end_date
575237,Will annual inflation increase by 3.0% or more in August?,2,2,high,low,NONE,GO_EVALUATE,SKIP,null,0.195,False,,,,2025-09-10T00:00:00+00:00,2025-09-11T00:00:00+00:00
506199,Iran military response by Monday?,7,2,medium,low,PRE_SIGNAL,WATCH,SKIP,null,0.0195,False,,,,2024-09-01T12:00:00+00:00,2024-09-02T12:00:00+00:00
505413,Will 'Beetlejuice Beetlejuice' gross less than $75m opening weekend?,4,2,medium,low,NONE,GO_EVALUATE,SKIP,null,0.002,False,,,,2024-09-08T12:00:00+00:00,2024-09-09T12:00:00+00:00
536516,Will the Conservative Party win by 25–49 seats?,4,6,medium,medium,NONE,GO_EVALUATE,SKIP,null,0.0665,False,,,,2025-04-27T12:00:00+00:00,2025-04-28T12:00:00+00:00
694402,Will Google (GOOGL) hit $355 before 2026??,5,2,medium,low,NONE,GO_EVALUATE,SKIP,null,0.003,False,,,,2025-12-30T23:59:59+00:00,2025-12-31T23:59:59+00:00
500943,Israel military action against Iran by Friday?,8,9,medium,medium,DIRECTIONAL_CONFLICT,GO_EVALUATE,SKIP,null,0.0355,True,,,,2024-04-18T12:00:00+00:00,2024-04-19T12:00:00+00:00
569679,Israel x Hamas ceasefire by September 15?,6,2,medium,low,NONE,GO_EVALUATE,SKIP,null,0.0065,False,,,,2025-09-14T00:00:00+00:00,2025-09-15T00:00:00+00:00
503700,Will Biden drop out on July 22?,7,8,medium,medium,DIRECTIONAL_CONFLICT,GO_EVALUATE,GO,NO,0.065,False,0.065,7.6,5.5,2024-07-21T12:00:00+00:00,2024-07-22T12:00:00+00:00
571994,Another dildo thrown at WNBA game by August 10?,2,9,high,medium,PUBLIC_INFO_ADJUSTED,SKIP,SKIP,null,0.695,True,,,,2025-08-09T00:00:00+00:00,2025-08-10T00:00:00+00:00
519244,Will Oracle buy TikTok?,6,3,medium,low,NONE,GO_EVALUATE,SKIP,null,0.0085,False,,,,2025-06-29T12:00:00+00:00,2025-06-30T12:00:00+00:00
